Intersections,Error,Start,,Time,Unresolved,,TotalH,BadH,BadGraduates
8,0.25,0.166666666666667,,1,8,,4,2,1
8,0.352941176470588,0.176470588235294,,1,0,,5,1,0
8,0.416666666666667,0.25,,1.25,2,,6,5,1.5
8,0.454545454545455,0.285714285714286,,1.5,8,,6,4,0.5
9,0.523809523809524,0.333333333333333,,2,7,,7,4,0.5
9,0.541666666666667,0.333333333333333,,2,1,,9,6,0
12,0.555555555555556,0.352941176470588,,3,6,,11,7,1.5
14,0.555555555555556,0.357142857142857,,3,0,,12,6,3
14,0.642857142857143,0.363636363636364,,3.33333333333333,3,,13,8,1
15,0.666666666666667,0.375,,3.33333333333333,5,,13,10,0
17,0.75,0.444444444444444,,6,0,,15,14,2.5
17,0.75,0.454545454545455,,,0,,18,12,1
21,0.75,0.461538461538462,,,5,,20,15,5
22,0.764705882352941,0.466666666666667,,,5,,20,11,3
22,0.769230769230769,0.476190476190476,,,10,,21,10,2.5
24,0.772727272727273,0.625,,,6,,24,10,2.5
24,0.857142857142857,0.666666666666667,,,7,,24,15,2
26,0.866666666666667,0.75,,,0,,24,16,3
,,,,,5,,,,
,,,,,1,,,,
,,,,,2,,,,
,,,,,4,,,,
,,,,,2,,,,
,,,,,0,,,,
,,,,,2,,,,
,,,,,1,,,,
,,,,,0,,,,
